Results for:,COPPER,Extension mm,Force N,eng_Stress,eng_Strain,True_stress,True_strain,log sigma,log strain
Curves for Specimen No:,1,,,,,,,,
Curve No:,1,0,0,0,0,0,0,,
,,1.116,4860,274.2223578,0.04464,286.4636438,0.043672328,,
,,1.12,4860,274.2223578,0.0448,286.5075194,0.04382548,,
,,1.124,4860,274.2223578,0.04496,286.551395,0.043978607,,
,,1.128,4852.5,273.7991751,0.04512,286.1529939,0.044131711,,
,,1.132,4852.5,273.7991751,0.04528,286.1968018,0.044284792,,
,,1.136,4845,273.3759925,0.04544,285.7981976,0.044437849,,
,,1.14,4845,273.3759925,0.0456,285.8419378,0.044590883,,
,,1.144,4845,273.3759925,0.04576,285.8856779,0.044743894,,
,,1.148,4837.5,272.9528098,0.04592,285.4868029,0.044896881,,
,,1.152,4837.5,272.9528098,0.04608,285.5304753,0.045049845,,
,,1.156,4830,272.5296272,0.04624,285.1313972,0.045202785,,
,,1.16,4830,272.5296272,0.0464,285.1750019,0.045355702,,
,,1.164,4830,272.5296272,0.04656,285.2186066,0.045508595,,
,,1.168,4822.5,272.1064445,0.04672,284.8192576,0.045661465,,
,,1.172,4822.5,272.1064445,0.04688,284.8627947,0.045814312,,
,,1.176,4815,271.6832619,0.04704,284.4632425,0.045967136,,
,,1.18,4815,271.6832619,0.0472,284.5067119,0.046119936,,
,,1.184,4815,271.6832619,0.04736,284.5501812,0.046272712,,
,,1.188,4807.5,271.2600792,0.04752,284.1503582,0.046425466,,
,,1.192,4807.5,271.2600792,0.04768,284.1937598,0.046578196,,
,,1.196,4800,270.8368966,0.04784,283.7937337,0.046730902,,
,,1.2,4800,270.8368966,0.048,283.8370676,0.046883586,,
,,1.204,4800,270.8368966,0.04816,283.8804015,0.047036246,,
,,1.208,4792.5,270.4137139,0.04832,283.4801046,0.047188883,,
,,1.212,4792.5,270.4137139,0.04848,283.5233708,0.047341496,,
,,1.216,4785,269.9905313,0.04864,283.1228707,0.047494087,,
,,1.22,4785,269.9905313,0.0488,283.1660692,0.047646653,,
,,1.224,4785,269.9905313,0.04896,283.2092677,0.047799197,,
,,1.228,4777.5,269.5673486,0.04912,282.8084968,0.047951718,,
,,1.232,4777.5,269.5673486,0.04928,282.8516276,0.048104215,,
,,1.236,4777.5,269.5673486,0.04944,282.8947584,0.048256689,,
,,1.24,4777.5,269.5673486,0.0496,282.9378891,0.048409139,,
,,1.244,4770,269.144166,0.04976,282.5367797,0.048561567,,
,,1.248,4770,269.144166,0.04992,282.5798428,0.048713971,,
,,1.252,4762.5,268.7209833,0.05008,282.1785302,0.048866352,,
,,1.256,4762.5,268.7209833,0.05024,282.2215255,0.049018709,,
,,1.26,4755,268.2978007,0.0504,281.8200098,0.049171044,,
,,1.264,4755,268.2978007,0.05056,281.8629375,0.049323355,,
,,1.268,4747.5,267.874618,0.05072,281.4612187,0.049475643,,
,,1.272,4747.5,267.874618,0.05088,281.5040786,0.049627908,,
,,1.276,4740,267.4514354,0.05104,281.1021566,0.04978015,,
,,1.28,4740,267.4514354,0.0512,281.1449489,0.049932369,,
,,1.284,4740,267.4514354,0.05136,281.1877411,0.050084564,,
,,1.288,4740,267.4514354,0.05152,281.2305333,0.050236736,,
,,1.292,4732.5,267.0282527,0.05168,280.8282728,0.050388886,,
